Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2025-05-12;64,9146;66,3738;64,6522;64,8045;;
2025-05-09;63,3432;64,1453;63,156;63,8305;;
2025-05-08;61,629;62,9787;61,1576;62,9386;;
2025-05-07;62,6954;63,1929;60,8786;61,1094;;
2025-05-06;61,1742;62,7771;61,1258;62,134;;
2025-05-05;59,4748;60,7649;59,445;60,1377;;
2025-05-02;62,406;62,5752;60,7112;61,5772;;
2025-04-30;62,6468;62,9969;60,7678;61,0366;;
2025-04-29;64,4098;64,4504;63,1044;63,1384;;
2025-04-28;66,2184;66,2437;64,2422;64,7318;;
2025-04-25;66,1456;66,1942;64,6716;65,9503;;
2025-04-24;65,1649;66,0616;65,0132;65,5456;;
2025-04-23;68,3905;68,6354;65,4646;66,1833;;
2025-04-22;66,5967;68,032;66,5797;67,2963;;
2025-04-17;66,792;68,1252;66,1513;67,5898;;
2025-04-16;63,5319;66,2903;63,5319;66,094;;
2025-04-15;65,1142;65,3815;64,2261;64,8345;;
2025-04-14;64,7406;65,8509;64,0933;64,9715;;
2025-04-11;63,6133;65,04;62,8398;64,7092;;
2025-04-10;64,1695;64,2409;62,0375;63,6492;;
2025-04-09;60,576;61,5229;58,4263;59,901;;
2025-04-08;64,7859;65,1195;61,3955;61,899;;
2025-04-07;63,6458;67,099;62,5277;64,3791;;
2025-04-04;69,422;69,6096;64,0685;66,3059;;
2025-04-03;73,0264;73,0959;69,4956;69,9567;;
2025-04-02;74,4902;75,1347;73,8553;75,0605;;
2025-04-01;75,0124;75,277;74,3398;74,4376;;
2025-03-31;72,7746;75,0345;72,5146;74,6906;;
2025-03-28;73,244;73,4534;72,3609;72,4358;;
2025-03-27;72,9568;73,37;72,5357;73,3402;;
2025-03-26;72,7903;73,4835;72,4732;73,3259;;
2025-03-25;73,0838;73,5634;72,5077;73,1232;;
2025-03-24;72,2196;73,1654;71,9335;73,0473;;
2025-03-21;72,2876;72,3152;71,5168;72,1582;;
2025-03-20;71,3909;72,299;70,5404;72,1997;;
2025-03-19;70,2439;71,2239;69,9043;70,8999;;
2025-03-18;71,5302;72,1763;70,2874;70,3896;;
2025-03-17;71,2415;71,5923;70,702;70,9907;;
2025-03-14;70,7025;70,7927;69,9461;70,5605;;
2025-03-13;70,9738;71,236;69,7223;70,0734;;
2025-03-12;69,6751;71,0864;69,4762;70,9008;;
2025-03-11;69,4091;70,4068;69,3096;69,8917;;
2025-03-10;70,3344;70,8508;69,0591;69,1977;;
2025-03-07;69,6242;71,3372;69,4605;70,3334;;
2025-03-06;69,8967;69,9021;68,7601;69,3824;;
2025-03-05;71,1069;71,1726;68,3507;69,4837;;
2025-03-04;70,9563;71,297;69,7632;71,0608;;
2025-03-03;72,7802;73,3778;71,1958;71,3667;;
2025-02-28;73,0772;73,2599;72,3429;73,1176;;
2025-02-27;72,3686;73,6576;72,0995;73,3206;;
2025-02-26;72,9103;72,9103;71,942;72,2227;;
2025-02-25;74,5973;74,6057;72,2244;72,6269;;
2025-02-24;74,11;74,443;73,7164;74,2947;;
2025-02-21;76,2276;76,265;74,2149;74,2327;;
