,qra,qra_91,qra_residuals,qra_asinh
2020,17/24,20/24,11/24,17/24
2021,14/24,12/24,11/24,14/24
2022,22/24,22/24,22/24,21/24
2023,22/24,21/24,20/24,19/24
2024,20/24,21/24,18/24,22/24
2025,23/24,21/24,20/24,23/24
