,qra,qra_91,qra_residuals,qra_asinh
2020,13/24,22/24,16/24,13/24
2021,17/24,13/24,9/24,13/24
2022,22/24,22/24,22/24,22/24
2023,21/24,24/24,18/24,23/24
2024,21/24,22/24,22/24,23/24
2025,22/24,22/24,23/24,22/24
