,qra_sorted,qra_91_sorted,qra_31_sorted
2020,1.845,1.7347,1.8415
2021,4.5723,4.5894,4.8215
2022,12.5489,12.3089,12.7553
2023,5.7501,5.646,5.7285
2024,5.3535,5.2,5.403
2025,5.5881,5.5545,5.7617
