,qra_sorted,qra_91_sorted,qra_31_sorted
2020,84.34,86.1,75.75
2021,82.93,82.75,73.69
2022,87.95,87.22,76.33
2023,92.89,90.18,78.04
2024,89.5,87.19,75.91
2025,91.01,88.82,77.1
