,qra_sorted,qra_91_sorted,qra_31_sorted
2020,4/24,0/24,0/24
2021,0/24,0/24,0/24
2022,2/24,0/24,0/24
2023,11/24,2/24,0/24
2024,1/24,0/24,0/24
2025,7/24,3/24,0/24
