,qra_sorted,qra_91_sorted,qra_31_sorted
2020,38.94,42.0,39.92
2021,37.17,36.77,37.29
2022,45.23,44.99,42.9
2023,53.11,48.77,41.72
2024,44.93,43.77,40.95
2025,48.29,47.84,41.79
