,qra_sorted,qra_91_sorted,qra_31_sorted
2020,7/24,7/24,2/24
2021,0/24,0/24,0/24
2022,7/24,8/24,8/24
2023,11/24,18/24,6/24
2024,11/24,8/24,4/24
2025,19/24,17/24,7/24
