,qra_sorted,qra_91_sorted,qra_31_sorted
2020,1.1366,1.0566,1.0942
2021,3.8377,3.8108,4.0134
2022,7.0168,7.1857,7.3635
2023,4.8069,4.7847,5.1467
2024,4.5972,4.5208,4.4027
2025,5.4825,5.394,5.3658
