,qra_sorted,qra_91_sorted,qra_31_sorted
2020,83.72,85.11,75.16
2021,81.93,80.84,72.64
2022,89.49,87.49,77.49
2023,92.75,89.71,77.58
2024,89.58,86.91,75.94
2025,90.82,89.88,77.98
