,qra,qra_91,qra_residuals,qra_asinh
2020,4/24,3/24,4/24,4/24
2021,0/24,0/24,0/24,0/24
2022,3/24,2/24,4/24,2/24
2023,15/24,17/24,15/24,14/24
2024,7/24,6/24,4/24,7/24
2025,14/24,13/24,13/24,15/24
