,qra_sorted,qra_91_sorted,qra_31_sorted
2020,2/24,7/24,7/24
2021,5/24,7/24,5/24
2022,7/24,11/24,10/24
2023,13/24,9/24,6/24
2024,11/24,9/24,6/24
2025,5/24,8/24,7/24
