,qra,qra_91,qra_residuals,qra_asinh
2020,3/24,3/24,2/24,3/24
2021,0/24,0/24,0/24,0/24
2022,1/24,7/24,0/24,1/24
2023,6/24,10/24,9/24,8/24
2024,7/24,5/24,6/24,8/24
2025,11/24,12/24,13/24,13/24
