,qra_sorted,qra_91_sorted,qra_31_sorted
2020,2.95,3.65,3.17
2021,3.0,2.83,3.05
2022,3.21,3.93,3.58
2023,4.41,4.01,3.38
2024,3.49,3.51,3.43
2025,3.83,3.68,3.11
