,qra_sorted,qra_91_sorted,qra_31_sorted
2020,40.98,43.63,41.18
2021,36.32,38.18,39.7
2022,44.28,46.43,41.69
2023,53.96,49.66,43.46
2024,46.39,45.0,41.21
2025,49.26,47.49,42.37
