,qra_sorted,qra_91_sorted,qra_31_sorted
2020,8/24,9/24,2/24
2021,1/24,0/24,1/24
2022,9/24,17/24,7/24
2023,5/24,15/24,7/24
2024,12/24,15/24,2/24
2025,15/24,17/24,10/24
