,qra_sorted,qra_91_sorted,qra_31_sorted
2020,2.24,3.73,2.99
2021,2.77,2.92,2.93
2022,3.94,3.29,3.36
2023,4.12,4.25,3.37
2024,3.48,3.53,3.3
2025,3.77,3.8,3.55
