,qra,qra_91,qra_residuals,qra_asinh
2020,3/24,2/24,0/24,3/24
2021,0/24,0/24,0/24,0/24
2022,0/24,0/24,0/24,2/24
2023,15/24,7/24,15/24,15/24
2024,6/24,1/24,1/24,6/24
2025,11/24,8/24,9/24,10/24
