,qra_sorted,qra_91_sorted,qra_31_sorted
2020,0/24,0/24,0/24
2021,0/24,0/24,0/24
2022,0/24,0/24,0/24
2023,12/24,2/24,0/24
2024,0/24,0/24,0/24
2025,5/24,1/24,0/24
